"","subjectid","activity","datatype","bodyaccxmean","bodyaccymean","bodyacczmean","bodyaccxsd","bodyaccysd","bodyacczsd","bodygyroxmean","bodygyroymean","bodygyrozmean","bodygyroxsd","bodygyroysd","bodygyrozsd","observationmean","observationsd"
"1",2,"standing","test",0.01165315,-0.02939904,0.1068262,0.0214312970210791,0.0153844411475972,0.0627887621658178,0.4374637,0.5313492,0.1365279,0.103505772635315,0.142741010368918,0.0308176315517541,0.25717778,0.53293889474142
"2",2,"standing","test",0.009279629,0.00665052,-0.02631933,0.00940642387727488,0.00729272774567621,0.0129244856658033,0.1702878,-0.06137388,0.05509624,0.0665161593448566,0.0559041381832489,0.0178896514588732,0.28602671,0.538233757550701
"3",2,"standing","test",0.005731945,0.007304842,0.01021286,0.00342679972444231,0.00687118587614965,0.00972522089989277,-0.0387265,-0.06024968,0.02928903,0.0252209296765448,0.0184616135407726,0.0139834420924805,0.27548482,0.52807257583942
"4",2,"standing","test",0.0004519467,-0.02380645,-0.02700233,0.00312666928610385,0.00630025475739365,0.00894424283495861,-0.01012762,0.003590409,0.008402927,0.0297471911182649,0.0210466218985361,0.0199950799458368,0.27029822,0.535905467723836
"5",2,"standing","test",-0.004362379,-0.009464754,-0.00146104,0.00341593460820146,0.00729484796848617,0.00692929248741665,-0.03666528,-0.03242742,0.01398331,0.0237685841684992,0.0188899669741211,0.0178665345381979,0.27483295,0.527689909723879
"6",2,"standing","test",-0.001095664,-0.001330569,-0.01493848,0.00322010043267193,0.0067872447800147,0.00926334344897398,-0.02781567,-0.01495385,0.0112626,0.0192209080525265,0.0200292624101754,0.0198842098716509,0.27921995,0.524667333968142
"7",2,"standing","test",-0.0004191591,0.00245887,0.001965591,0.00277694545842006,0.00577307526456109,0.00703185658091121,-0.007987777,0.01839334,-0.004648435,0.0107276524688568,0.0143648083377697,0.0153794733103576,0.27974586,0.528827387211795
"8",2,"standing","test",-0.0008864384,0.005571543,-0.00649146,0.00284997297137398,0.00479673031884512,0.00567630064709891,-0.003111179,0.02203141,-0.03861931,0.00662285191419547,0.00779880345045264,0.00710824565291763,0.27460055,0.531869139624043
"9",2,"standing","test",-0.003085937,-0.009525561,-0.003851901,0.00246343260069224,0.00584949396700818,0.00543628665682553,-0.002690875,-0.003964357,0.005807411,0.00449809592133441,0.00560824062211304,0.00558829569711432,0.27252874,0.535373828537912
"10",2,"standing","test",-0.0003436752,-0.009934455,-0.0008162226,0.00194716339401488,0.00396581605645369,0.00464052422207684,0.008948563,-0.0008625022,-0.008505226,0.00483983671345548,0.00703370402193107,0.00660039184377538,0.2757457,0.535330507896622
"11",2,"standing","test",0.002101352,0.005294535,-0.001038912,0.00181332228281775,0.00481823091814208,0.00457633691923858,-0.0001312365,0.008027996,-0.01232868,0.00652029305842979,0.00750175154127634,0.00678965617928005,0.27859589,0.53671554885613
"12",2,"standing","test",0.001681334,-0.001773676,0.01062681,0.00213953681163954,0.00293771085237038,0.00560114541240916,-0.006049755,-0.006019657,0.006191677,0.00535764638918822,0.00673690649350471,0.00494678843885407,0.27915178,0.54419059449776
"13",2,"standing","test",-0.001693136,-0.001206621,0.004965076,0.00265173621716077,0.00317318450055749,0.00527060456095008,0.002834348,-0.007022364,0.0005628868,0.00614462339826425,0.0060411112703068,0.00396858456846565,0.27454383,0.543520414808611
"14",2,"standing","test",-0.001982079,-0.001697793,-0.00551919,0.0024311143524027,0.00405010517865706,0.0050978131832419,0.005014528,0.004887937,-0.0006099511,0.00702354588170252,0.0110399447650149,0.0102088738292851,0.26906631,0.540623628091214
"15",2,"standing","test",-0.001070584,-0.006287833,0.002735384,0.00269718128861539,0.00716159934473567,0.00649750610118896,0.005290209,-0.003029855,0.007479734,0.00819043350588318,0.0109959728119075,0.00936616031907311,0.27557925,0.53431255374798
"16",2,"standing","test",0.003203217,0.00623501,0.01244139,0.00496795870071152,0.00873651903868764,0.00787723311639164,-0.009081273,0.01528178,-0.01182275,0.136096059044537,0.0662193534913488,0.0422716834552523,0.28193083,0.537956410979442
"17",2,"standing","test",0.05480713,0.07859789,0.09856425,0.0219888965218308,0.0290345833461392,0.0359673201967028,-0.02172888,-0.001945009,-0.03037232,0.0204911514852038,0.0192267130388702,0.0227890052729718,0.31107792,0.546723944478437
"18",2,"standing","test",-0.006150843,-0.04382283,-0.03427014,0.0064347266071745,0.0165308745756245,0.0187305916473911,0.0315016,-0.0148177,-0.04344121,0.0132940482840648,0.0104576965229332,0.0156012965951655,0.26232825,0.56158612479273
"19",2,"standing","test",-0.004976439,-0.003370888,1.745962e-05,0.00318259802583026,0.0054303506495399,0.00663298894908003,0.02768866,-0.01168414,-0.0112029,0.0118120906434449,0.00922384137946536,0.0115441981154474,0.28841575,0.539049531441498
"20",2,"standing","test",0.006662041,0.01319404,0.01098403,0.011125373717817,0.0184956954559875,0.00926634450501729,0.003767455,0.007773576,-0.001222952,0.0437519687604691,0.0262422827240748,0.0293726864692202,0.27116593,0.532929278960597
"21",2,"standing","test",0.001190267,0.0004754479,-0.003237327,0.0115158730860092,0.0170427171916803,0.0176178433385797,0.004424433,-0.01573432,0.01143571,0.0538288709357479,0.0345602931649199,0.0317248316363586,0.25309467,0.529550158265891
"22",2,"standing","test",-0.02105797,-0.02373407,-0.01671857,0.0141120562052417,0.0179564051412918,0.0261764205214546,-0.05290641,-0.06821682,0.04124916,0.0442551905225185,0.0705712116795718,0.0427956585107502,0.27133883,0.551531921265281
"23",2,"standing","test",-0.008023345,-0.01425673,-0.01037603,0.0180684697873256,0.0283518472026168,0.024479518758261,-0.0225939,0.03983152,-0.03062932,0.044772319638879,0.112301316143488,0.124825189582278,0.29926682,0.53864018644319
"24",2,"standing","test",0.01756484,0.02922619,0.01016222,0.0136306122583606,0.0250791789999387,0.0282108177085821,-0.05082771,0.02869885,-0.03357177,0.041309807305897,0.0986261533366117,0.121115325058356,0.29389749,0.527427633017235
"25",2,"standing","test",-0.0139587,-0.004876104,-0.009296058,0.00494031344429271,0.00711203662867314,0.00865073751780196,0.03068293,0.02469332,-0.001206968,0.0285133366631827,0.0232920094669188,0.0187515887047913,0.27563911,0.525954302132557
"26",2,"standing","test",0.005283325,0.009178971,-0.01497533,0.00429284341126361,0.00796053783627828,0.007852514377842,-0.01188593,-0.03958831,0.008212509,0.0191276705822383,0.014784113439185,0.0131515816604758,0.27225459,0.523695900772226
"27",2,"standing","test",0.0009179759,-0.002498631,-0.02268387,0.00369654194433863,0.0076067731823591,0.00918754010418948,0.04003171,0.006509987,0.02778363,0.0150179425388614,0.0139211814177587,0.0164712512378943,0.27642711,0.53382327295884
"28",2,"standing","test",-0.0002071833,-0.006730327,-0.01199027,0.0035004619862967,0.00653335431901675,0.00699313563824881,-0.01109365,0.0008346684,0.01736456,0.0115196016575799,0.0120494771361212,0.0120745744550464,0.28016952,0.529376221067124
"29",2,"standing","test",-0.001164974,0.004597385,0.01030913,0.00303418268131931,0.00658625865106166,0.00685201227179121,0.02847967,0.007750015,-0.01766022,0.0102790266293614,0.00876103736752877,0.00945174989451497,0.27746102,0.538383998264804
"30",2,"standing","test",-0.005066028,-0.007032748,-0.007867286,0.00358232714503294,0.00822947134633745,0.00581464633511468,0.009109552,-0.0008590267,-0.008147656,0.00757640015259678,0.0078099234659587,0.00868266311449757,0.28837469,0.550931914896748
"31",2,"standing","test",-0.0001190856,0.003698457,-0.0009316173,0.00405557519543327,0.00759116584729021,0.00587478413153429,0.01305796,0.01483757,-0.01047463,0.0204522924324129,0.0134039403226201,0.0105366162587669,0.28590496,0.553122673039105
"32",2,"sitting","test",-0.001773176,0.1050878,-0.0002218668,0.00541045250178486,0.0300499049942399,0.0136272571402212,-0.03434671,-0.1000762,0.1893471,0.0171796317640697,0.033620918609347,0.036114313326388,0.29648714,0.542549805763785
"33",2,"sitting","test",0.001967866,-0.01681828,-0.01339682,0.00259133091393488,0.00981592211001369,0.00924647155361685,-0.02737277,0.01452481,0.02013286,0.0117805861580637,0.00934285605332608,0.0121650080678742,0.27723542,0.543132334381002
"34",2,"sitting","test",-0.004388547,0.0001627157,0.0001484876,0.0024627910412265,0.00371634740524878,0.00491383228723285,-0.009653463,0.005081852,0.00999036,0.00498379631224002,0.00509080075833465,0.0119920462890972,0.2782907,0.540277334148799
"35",2,"sitting","test",0.0004272219,0.00483143,-0.008842168,0.00240144164055316,0.00820600327162792,0.00529996801243496,0.001165476,-0.0009106298,0.01041678,0.00490113840960608,0.0140503357187683,0.0230058850550844,0.27815992,0.538621161235226
"36",2,"sitting","test",0.001680698,-0.005720384,-0.00336999,0.00230572401224817,0.00763377611109312,0.00641675806926138,0.01309845,0.02924961,-0.04900502,0.0069794610364492,0.0154964407349412,0.0241520277290511,0.27664638,0.535708422526497
"37",2,"sitting","test",-0.002922505,0.003221526,-0.002588136,0.00231392041613286,0.00707692169183061,0.00551994688268931,0.004680145,-0.01222047,0.004442875,0.0060495060983006,0.0144589697069184,0.0157899192829678,0.27829493,0.530160806106719
"38",2,"sitting","test",0.001817151,-0.001892804,-0.007232763,0.00295914175371689,0.00653240305749263,0.00597410409590918,-0.00170871,0.004746528,0.02978555,0.00497637417378871,0.0142405122295964,0.0148195133354575,0.27505303,0.525437086347547
"39",2,"sitting","test",-0.0004066691,-0.004280975,-0.01080716,0.00264095037203935,0.00401475286999399,0.00487699201731633,-0.004240027,0.00809506,-0.01215542,0.00457872641498327,0.0109591353007923,0.0099686661484649,0.27486428,0.52698811819244
